COMECANDO LOG DA INSTÂNCIA 1.txt
Requisicao 173 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 174 | Sensor Sensor(12) | 1 caminhos testados | Selecionado: [Sensor(12), FogNode(6)]
Requisicao 175 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 176 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 177 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 178 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 179 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 180 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 181 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 182 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 183 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 184 | Sensor Sensor(13) | 1 caminhos testados | Selecionado: [Sensor(13), FogNode(7)]
Requisicao 185 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 186 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 187 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 188 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 189 | Sensor Sensor(6) | 1 caminhos testados | Selecionado: [Sensor(6), FogNode(3)]
Requisicao 190 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 191 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 192 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 193 | Sensor Sensor(13) | 1 caminhos testados | Selecionado: [Sensor(13), FogNode(7)]
Requisicao 194 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 195 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 196 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 197 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 198 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 199 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 200 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 201 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 202 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 203 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 204 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 205 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 206 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 207 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 208 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 209 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 210 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 211 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 212 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 213 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 214 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 215 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 216 | Sensor Sensor(8) | 1 caminhos testados | Selecionado: [Sensor(8), FogNode(5)]
Requisicao 217 | Sensor Sensor(17) | 1 caminhos testados | Selecionado: [Sensor(17), FogNode(8)]
Requisicao 218 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 219 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 220 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 221 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 222 | Sensor Sensor(14) | 1 caminhos testados | Selecionado: [Sensor(14), FogNode(6)]
Requisicao 223 | Sensor Sensor(18) | 1 caminhos testados | Selecionado: [Sensor(18), FogNode(9)]
Requisicao 224 | Sensor Sensor(13) | 1 caminhos testados | Selecionado: [Sensor(13), FogNode(7)]
Requisicao 225 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 226 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 227 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 228 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 229 | Sensor Sensor(16) | 1 caminhos testados | Selecionado: [Sensor(16), FogNode(9)]
Requisicao 230 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 231 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 232 | Sensor Sensor(7) | 1 caminhos testados | Selecionado: [Sensor(7), FogNode(3)]
Requisicao 233 | Sensor Sensor(1) | 1 caminhos testados | Selecionado: [Sensor(1), FogNode(0)]
Requisicao 234 | Sensor Sensor(9) | 1 caminhos testados | Selecionado: [Sensor(9), FogNode(5)]
Requisicao 235 | Sensor Sensor(6) | 1 caminhos testados | Selecionado: [Sensor(6), FogNode(3)]
Requisicao 236 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
Requisicao 237 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 238 | Sensor Sensor(19) | 1 caminhos testados | Selecionado: [Sensor(19), FogNode(9)]
Requisicao 239 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 240 | Sensor Sensor(11) | 1 caminhos testados | Selecionado: [Sensor(11), FogNode(5)]
Requisicao 241 | Sensor Sensor(0) | 1 caminhos testados | Selecionado: [Sensor(0), FogNode(1)]
Requisicao 242 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 243 | Sensor Sensor(10) | 1 caminhos testados | Selecionado: [Sensor(10), FogNode(5)]
Requisicao 244 | Sensor Sensor(3) | 1 caminhos testados | Selecionado: [Sensor(3), FogNode(0)]
Requisicao 245 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 246 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 247 | Sensor Sensor(2) | 1 caminhos testados | Selecionado: [Sensor(2), FogNode(1)]
Requisicao 248 | Sensor Sensor(5) | 1 caminhos testados | Selecionado: [Sensor(5), FogNode(3)]
Requisicao 249 | Sensor Sensor(15) | 1 caminhos testados | Selecionado: [Sensor(15), FogNode(6)]
